name,district_id
Agali,73
Amadagur,73
Amarapuram,73
Anantapur,73
Atmakur,73
Bathalapalle,73
Beluguppa,73
Bommanahal,73
Brahmasamudram,73
Bukkapatnam,73
Bukkaraya Samudram,73
Chennekothapalle,73
Chilamathur,73
D Hirehal,73
Dharmavaram,73
Gandlapenta,73
Garladinne,73
Gooty,73
Gorantla,73
Gudibanda,73
Gummagatta,73
Guntakal,73
Hindupur,73
Kadiri,73
Kalyandurg,73
Kambadur,73
Kanaganapalle,73
Kanekal,73
Kothacheruvu,73
Kudair,73
Kundurpi,73
Lepakshi,73
Madakasira,73
Mudigubba,73
Nallacheruvu,73
Nallamada,73
Nambulipulikunta,73
Narpala,73
Obuladevaracheruvu,73
Pamidi,73
Parigi,73
Peddapappur,73
Peddavadugur,73
Penukonda,73
Putlur,73
Puttaparthi,73
Ramagiri,73
Raptadu,73
Rayadurg,73
Roddam,73
Rolla,73
Settur,73
Singanamala,73
Somandepalle,73
Tadimarri,73
Tadpatri,73
Talupula,73
Tanakal,73
Uravakonda,73
Vajrakarur,73
Vidapanakal,73
Yadiki,73
Yellanur,73
,
,
B Kothakota,74
Baireddipalle,74
Bangarupalem,74
Buchinaidu Kandriga,74
Chandragiri,74
Chinnagottigallu,74
Chittoor,74
Chowdepalle,74
Gangadhara Nellore,74
Gangavaram,74
Gudipala,74
Gudupalle,74
Gurramkonda,74
Irala,74
K V B Puram,74
Kalakada,74
Kalikiri,74
Kambhamvaripalle,74
Karvetinagar,74
Kuppam,74
Kurabalakota,74
Madanapalle,74
Mulakalacheruvu,74
Nagalapuram,74
Nagari,74
Narayanavanam,74
Nimmanapalle,74
Nindra,74
Pakala,74
Palamaner,74
Palasamudram,74
Pedda Thippasamudram,74
Peddamandyam,74
Peddapanjani,74
Penumuru,74
Pichatur,74
Pileru,74
Pulicherla,74
Punganur,74
Puthalapattu,74
Puttur,74
Ramachandrapuram,74
Ramakuppam,74
Ramasamudram,74
Renigunta,74
Rompicherla,74
Santhipuram,74
Satyavedu,74
Sodam,74
Somala,74
Srikalahasti,74
Srirangarajapuram,74
Thamballapalle,74
Thavanampalle,74
Thottambedu,74
Tirupati,74
Vadamalapeta,74
Valmikipuram,74
Varadaiahpalem,74
Vedurukuppam,74
Venkatagirikota,74
Vijayapuram,74
Yadamarri,74
Yerpedu,74
Yerravaripalem,74
,
,
Addateegala,75
Ainavilli,75
Alamuru,75
Allavaram,75
Amalapuram,75
Ambajipeta,75
Anaparthy,75
Atreyapuram,75
Biccavolu,75
Devipatnam,75
Gandepalle,75
Gangavaram,75
Gokavaram,75
Gollaprolu,75
I Polavaram,75
Jaggampeta,75
Kadiam,75
Kajuluru,75
Kakinada,75
Kapileswarapuram,75
Karapa,75
Katrenikona,75
Kirlampudi,75
Korukonda,75
Kotananduru,75
Kothapalle,75
Kothapeta,75
Malikipuram,75
Mamidikuduru,75
Mandapeta,75
Maredumilli,75
Mummidivaram,75
P Gannavaram,75
Pamarru,75
Pedapudi,75
Peddapuram,75
Pithapuram,75
Prathipadu,75
Rajahmundry,75
Rajahmundry Rural,75
Rajanagaram,75
Rajavommangi,75
Ramachandrapuram,75
Rampachodavaram,75
Rangampeta,75
Ravulapalem,75
Rayavaram,75
Razole,75
Rowthulapudi,75
Sakhinetipalle,75
Samalkota,75
Sankhavaram,75
Seethanagaram,75
Thallarevu,75
Thondangi,75
Tuni,75
Uppalaguptam,75
Y Ramavaram,75
Yeleswaram,75
,
Amaravathi,77
Amruthalur,77
Atchampet,77
Bapatla,77
Bellamkonda,77
Bhattiprolu,77
Bollapalle,77
Chebrolu,77
Cherukupalle H O Arumbaka,77
Dachepalle,77
Duggirala,77
Durgi,77
Edlapadu,77
Guntur,77
Gurazala,77
Ipur,77
Kakumanu,77
Karempudi,77
Karlapalem,77
Kollipara,77
Kollur,77
Krosuru,77
Machavaram,77
Macherla,77
Mangalagiri,77
Medikonduru,77
Muppalla,77
Nadendla,77
Nagaram,77
Narasaraopet,77
Nekarikallu,77
Nizampatnam,77
Nuzendla,77
Pedakakani,77
Pedakurapadu,77
Pedanandipadu,77
Phirangipuram,77
Piduguralla,77
Pittalavanipalem,77
Ponnur,77
Prathipadu,77
Rajupalem,77
Rentachintala,77
Repalle,77
Rompicherla,77
Sattenapalle,77
Savalyapuram H O Kanamarlapudi,77
Tadepalle,77
Tadikonda,77
Tenali,77
Thullur,77
Tsundur,77
Vatticherukuru,77
Veldurthi,77
Vemuru,77
Vinukonda,
,
,
,
A Konduru,78
Agiripalle,78
Avanigadda,78
Bantumilli,78
Bapulapadu,78
Challapalle,78
Chandarlapadu,78
ChatraiG,78
Konduru,78
Gampalagudem,78
Gannavaram,78
Ghantasala,78
Gudivada,78
Gudlavalleru,78
Guduru,78
Ibrahimpatnam,78
Jaggayyapeta,78
Kaikalur,78
Kalidindi,78
Kanchikacherla,78
Kankipadu,78
Koduru,78
Kruthivennu,78
Machilipatnam,78
Mandavalli,78
Mopidevi,78
Movva,78
Mudinepalle,78
Musunuru,78
Mylavaram,78
Nagayalanka,78
Nandigama,78
Nandivada,78
Nuzvid,78
Pamarru,78
Pamidimukkala,78
Pedana,78
Pedaparupudi,78
Penamaluru,78
Penuganchiprolu,78
Reddigudem,78
Thotlavalluru,78
Tiruvuru,78
Unguturu,78
Vatsavai,78
Veerullapadu,78
Vijayawada,78
Vissannapet,78
Vuyyuru,78
,
,
Adoni,79
Allagadda,79
Alur,79
Aspari,79
Atmakur,79
Banaganapalle,79
Bandi Atmakur,79
Bethamcherla,79
C Belagal,79
Chagalamarri,79
Chippagiri,79
Devanakonda,79
Dhone,79
Dornipadu,79
Gadivemula,79
Gonegandla,79
Gospadu,79
Gudur,79
Halaharvi,79
Holagunda,79
Jupadu Bungalow,79
Kallur,79
Kodumur,79
Koilkuntla,79
Kolimigundla,79
Kosigi,79
Kothapalle,79
Kowthalam,79
Krishnagiri,79
Kurnool,79
Maddikera,79
Mahanandi,79
Mantralayam,79
Midthur,79
Nandavaram,79
Nandikotkur,79
Nandyal,79
Orvakal,79
Owk,79
Pagidyala,79
Pamulapadu,79
Panyam,79
Pattikonda,79
Peapally,79
Pedda Kadubur,79
Rudravaram,79
Sanjamala,79
Sirvel,79
Srisailam,79
Tuggali,79
Uyyalawada,79
Veldurthi,79
Velgode,79
Yemmiganur,79
,
,
Addanki,80
Ardhaveedu,80
Ballikurava,80
Bestawaripeta,80
Chandra Sekhara Puram,80
Chimakurthi,80
Chinaganjam,80
Chirala,80
Cumbum,80
Darsi,80
Donakonda,80
Dornala,80
Giddalur,80
Gudluru,80
Hanumanthuni Padu,80
Inkollu,80
Janakavarampanguluru,80
Kandukur,80
Kanigiri,80
Karamchedu,80
Komarolu,80
Konakanamitla,80
Kondapi,80
Korisapadu,80
Kotha Patnam,80
Kurichedu,80
Lingasamudram,80
Maddipadu,80
Markapur,80
Marripudi,80
Martur,80
Mundlamuru,80
Naguluppala Padu,80
Ongole,80
Pamur,80
Parchur,80
Peda Araveedu,80
Pedacherlo Palle,80
Podili,80
Ponnaluru,80
Pullalacheruvu,80
Racherla,80
Santhamaguluru,80
Santhanuthala  Padu,80
Singarayakonda,80
Tangutur,80
Tarlupadu,80
Thallur,80
Tripuranthakam,80
Ulavapadu,80
Veligandla,80
Vetapalem,80
Voletivaripalem,80
Yeddana Pudi,80
Yerragondapalem,80
Zarugumilli,80
,
,
Allur,81
Ananthasagaram,81
Anumasamudrampeta,81
Atmakur,81
Balayapalle,81
Bogole,81
Buchireddipalem,81
Chejerla,81
Chillakur,81
Chittamur,81
Dagadarthi,81
Dakkili,81
Doravarisatram,81
Duttalur,81
Gudur,81
Indukurpet,81
Jaladanki,81
Kaligiri,81
Kaluvoya,81
Kavali,81
Kodavalur,81
Kondapuram,81
Kota,81
Kovur,81
Manubolu,81
Marripadu,81
Muthukur,81
Naidupet,81
Nellore,81
Ojili,81
Pellakur,81
Podalakur,81
Rapur,81
Sangam,81
Seetharamapuram,81
Sullurpeta,81
Sydapuram,81
Tada,81
Thotapalligudur,81
Udayagiri,81
Vakadu,81
Varikuntapadu,81
Venkatachalam,81
Venkatagiri,81
Vinjamur,
,
,
Amadalavalasa,82
Bhamini,82
Burja ,82
Etcherla,82
Ganguvarisigadam,82
Gara,82
Hiramandalam,82
Ichchapuram,82
Jalumuru,82
Kanchili,82
Kaviti,82
Kotabommali,82
Kothuru,82
Lakshminarsupeta,82
Laveru,82
Mandasa,82
Meliaputti,82
Nandigam,82
Narasannapeta,82
Palakonda,82
Palasa,82
Pathapatnam,82
Polaki,82
Ponduru,82
Rajam,82
Ranastalam,82
Regidi Amadalavalasa,82
Santhabommali,82
Santhakaviti,82
Saravakota,82
Sarubujjili,82
Seethampeta,82
Sompeta,82
Srikakulam,82
Tekkali,82
Vajrapukothuru,82
Vangara,82
Veeraghattam,82
,
,
Anakapalle,83
Anandapuram,83
Ananthagiri,83
Araku Valley,83
Atchutapuram,83
Bheemunipatnam,83
Butchayyapeta,83
Cheedikada,83
Chintapalle,83
Chodavaram,83
Devarapalle,83
Dumbriguda,83
G Madugula,83
Gajuwaka,83
Golugonda,83
Gudem Kotha Veedhi,83
Hukumpeta,83
K Kotapadu,83
Kasimkota,83
Kotauratla,83
Koyyuru,83
Madugula,83
Makavarapalem,83
Munagapaka,83
Munchingi Puttu,83
Nakkapalle,83
Narsipatnam,83
Nathavaram,83
Paderu,83
Padmanabham,83
Paravada,83
Payakaraopeta,83
Peda Bayalu,83
Pedagantyada,83
Pendurthi,83
Rambilli,83
Ravikamatham,83
Rolugunta,83
S Rayavaram,83
Sabbavaram,83
Visakhapatnam,83
Yelamanchili,83
,
,
Badangi,84
Balijipeta,84
Bhogapuram,84
Bobbili,84
Bondapalle,84
Cheepurupalle,84
Dattirajeru,84
Denkada,84
Gajapathinagaram,84
Gantyada,84
Garividi,84
Garugubilli,84
Gummalakshmipuram,84
Gurla,84
Jami,84
Jiyyammavalasa,84
Komarada,84
Kothavalasa,84
Kurupam,84
Lakkavarapukota,84
Makkuva,84
Mentada,84
Merakamudidam,84
Nellimarla,84
Pachipenta,84
Parvathipuram,84
Pusapatirega,84
Ramabhadrapuram,84
Salur,84
Seethanagaram,84
Srungavarapukota,84
Therlam,84
Vepada,84
Vizianagaram,84
,
,
Achanta,85
Akividu,85
Attili,85
Bhimadole,85
Bhimavaram,85
Buttayagudem,85
Chagallu,85
Chintalapudi,85
Denduluru,85
Devarapalle,85
Dwarakatirumala,85
Eluru,85
Ganapavaram,85
Gopalapuram,85
Iragavaram,85
Jangareddigudem,85
Jeelugu Milli,85
Kalla,85
Kamavarapukota,85
Kovvur,85
Koyyalagudem,85
Lingapalem,85
Mogalthur,85
Nallajerla,85
Narasapuram,85
Nidadavole,85
Nidamarru,85
Palacoderu,85
Palacole,85
Pedapadu,85
Pedavegi,85
Pentapadu,85
Penugonda,85
Penumantra,85
Peravali,85
Poduru,85
Polavaram,85
T Narasapuram,85
Tadepalligudem,85
Tallapudi,85
Tanuku,85
Undi,85
Undrajavaram,85
Unguturu,85
Veeravasaram,85
Yelamanchili,85
,
,
Atlur,86
B Kodur,86
Badvel,86
Brahmamgarimattam,86
Chakrayapet,86
Chapad,86
Chennur,86
Chinnamandem,86
Chinthakommadinne,86
Chitvel,86
Duvvur,86
Galiveedu,86
Gopavaram,86
Jammalamadugu,86
Kadapa,86
Kalasapadu,86
Kamalapuram,86
Khajipet,86
Kodur,86
Kondapuram,86
Lakkireddipalle,86
Lingala,86
Muddanur,86
Mylavaram,86
Nandalur,86
Obulavaripalle,86
Peddamudium,86
Penagalur,86
Pendlimarri,86
Porumamilla,86
Proddatur,86
Pulivendla,86
Pullampeta,86
Rajampet,86
Rajupalem,86
Ramapuram,86
Rayachoti,86
S Mydukur,86
Sambepalle,86
Sidhout,86
Simhadripuram,86
Sri Avadhutha Kasinayana,86
T Sundupalle,86
Thondur,86
Vallur,86
Veeraballe,86
Veerapunayunipalle,86
Vempalle,86
Vemula,86
Vontimitta,86
Yerraguntla,86
